words value_1 value_2 value_3 value_4 value_5 value_6 value_7 value_8 value_9 value_10 value_11 value_12 value_13 value_14 value_15 value_16 value_17 value_18 value_19 value_20 value_21 value_22 value_23 value_24 value_25 value_26 value_27 value_28 value_29 value_30 value_31 value_32 value_33 value_34 value_35 value_36 value_37 value_38 value_39 value_40 value_41 value_42 value_43 value_44 value_45 value_46 value_47 value_48 value_49 value_50
the -0.59672064 0.3941474 -0.08983095 0.2972804 0.23082322 0.61054766 0.013613821 0.076396115 0.46631908 0.19841272 0.18745461 0.39553624 -0.318996 -0.28323394 -0.05783696 -1.0204214 0.083688475 -0.385136 0.08934284 -0.58975464 -0.16185065 -0.69773686 -0.40777317 -0.0513469 -0.056716755 -0.64289135 0.6349399 0.14773391 -0.33141145 -0.28575847 0.4249634 0.69584125 -0.3546228 -0.10597512 -0.17133385 0.2118523 0.114091955 -0.4374767 -0.14476511 -0.06082718 -0.27067447 -0.03970337 -0.01580926 -0.11498877 0.29781947 0.28928247 0.108275004 0.11299123 -0.2525026 0.31616974
and 0.20610438 0.30617687 -0.7080104 -0.03872583 0.080398425 -0.16971919 -0.46171558 0.30535623 0.049947266 0.010195727 -0.22545545 0.12697895 -0.143665 -0.14302798 0.47502467 -0.5352534 -0.28879264 -0.13415113 0.5648947 0.1538185 0.59621364 0.3569594 0.005569943 0.17875671 0.4913524 -0.32036385 0.6837166 -0.6740305 -0.21523198 0.12062015 -0.48361987 -0.25960052 -0.4206391 -0.13719475 -0.07667486 0.33118978 0.18494509 -0.17988479 -0.52150375 0.36298653 -0.19552693 0.12994169 0.50345486 -0.35545027 -0.43841022 -0.15557614 0.4784777 -0.70231676 0.27977988 -0.17238747
to 0.5710154 0.25723392 0.18949579 0.6025472 -0.07308008 0.109842345 0.2931738 0.24654572 0.583554 0.54244983 -0.45598623 -0.03949929 -0.20355015 -0.087198354 0.5879839 0.2508772 0.34322044 -0.18114325 0.4075602 0.04909715 -0.38770732 0.16415013 -0.42293707 -0.67524874 0.24152201 0.67587423 -0.04813238 0.22027908 0.65521747 0.14571683 0.79441917 -0.42629117 -0.08283988 -0.4792492 -0.2011296 0.40631035 -0.07266737 -0.2183809 0.069132864 0.33558807 -0.51321113 -0.9719675 0.29898363 0.58391345 0.2667723 -0.001043557 -0.34717458 -0.51915246 0.24505617 0.48614314
a -0.58851635 -0.29222092 -0.83457494 -0.30206615 -0.53217936 0.5285893 -0.56750023 0.1355201 0.034624837 0.6940022 0.2687163 -0.253501 -0.010790323 0.22336748 0.10205009 -0.35514173 0.070571795 -0.62665373 0.7885045 -0.49324995 0.7226951 -0.4484445 -0.33774534 0.39871323 -0.14998993 -0.21849227 -0.18225732 0.7336742 0.34313697 0.18661912 0.4451633 -0.010149737 0.25095457 -0.54965085 -0.108517446 -0.2854084 0.1971768 -0.037806973 -0.36713734 -0.075813375 0.32027817 0.34601542 0.05830425 0.5897766 0.48563313 -0.46762276 -0.020244263 -0.06108301 0.95130056 0.20089284
it 0.50695336 0.33620653 -0.04138887 0.45745856 0.46793896 0.37715942 -0.29911712 0.08441495 0.59124446 0.142037 -0.3331788 -0.25982085 -0.48010373 0.37466305 0.100830205 0.33115906 0.24189796 -0.55953246 -0.08533271 -0.06322277 0.2836134 -0.20045792 0.061597742 -0.35000142 -0.02185118 0.27730125 -0.20680119 -0.39911476 0.29440296 0.24207035 -0.295593 0.6025927 0.5097436 -0.36990744 0.41714942 0.030534824 -0.67767686 0.24547318 -0.16357362 -0.4806874 -0.08167686 -0.07085948 -0.3648017 -0.20528547 0.38151255 -0.7053297 0.423523 0.087454304 0.48476642 -0.362011
she 0.47648743 -0.1544043 -0.04088884 -0.35215566 -0.18972294 0.16883393 -0.52704346 0.5905061 -0.04790967 -0.43580604 -0.08424671 -0.17009811 -0.1450665 -0.38430002 0.4946292 -0.261915 -0.63603616 -0.5412903 -0.50881004 -0.22008823 0.32169747 -0.5174668 -0.2617777 -0.52413255 0.559367 -0.07875635 -0.36810023 -0.38142344 0.5943691 0.2667058 0.09546351 0.3636837 0.037538603 0.6095733 0.3623524 -0.23257108 -0.35178372 -0.46087956 0.011069316 -0.43361548 0.007433533 -0.6013709 0.49827906 0.053620942 -0.033091724 -0.4359977 -0.12778245 0.42151478 0.7739945 0.40247405
i -0.09391127 0.55226207 0.1823874 -0.5916244 0.49816486 -0.3275502 0.22969475 -0.5250135 0.3874774 0.3163623 -0.7239197 -0.19125868 0.21247754 -0.644891 -0.12485722 0.6636725 0.0005002833 0.24796382 0.61384857 0.5278737 0.3250396 -0.47229984 0.2917926 -0.4183975 0.33840412 -0.2918335 0.23946428 -0.2105242 0.67860055 -0.5693481 -0.30614206 0.5121524 -0.31329173 0.44682944 0.4941749 0.5653342 -0.26132533 -0.012366287 0.16550162 -0.29360273 0.121233106 -0.28494245 0.13130291 0.43662128 0.103644885 -0.39425617 0.23743023 0.22766648 1.0253671 0.16812769
of 0.1709529 -0.16835493 0.7146728 -0.13779494 0.114245415 0.33270934 0.09694083 0.8301815 -0.044674654 -0.5395589 -0.11121209 0.8098259 0.14488138 -0.027999852 -0.3499705 -0.604564 0.45215064 0.72407603 0.8206582 -0.23402406 0.6396419 0.613932 0.3207539 0.13287327 -0.46665508 -0.9447936 0.7532589 0.35586157 0.50830245 -0.25705612 0.27702585 0.011697929 0.4775717 0.76880085 0.2975013 -0.13021648 -0.34103394 -0.44409218 -0.26467073 -0.016050126 -0.37834367 -0.057776444 0.0067221774 0.413427 0.84268904 0.34448326 0.012339249 -0.33803317 -0.124193385 -0.06995881
said -0.24434648 0.3243889 -0.54018736 0.33242896 -0.4971872 -0.022542587 -0.044467762 -0.41113392 0.0461701 0.01618563 -0.44933316 0.46562028 -0.80503434 -0.37423602 -0.43156415 -0.13302979 0.6373541 -0.30571824 0.13171211 -0.11235699 -0.13736686 0.2511385 -0.1345679 -0.32935464 -0.22805391 -0.60064965 0.53190494 0.5591925 0.24167664 -0.20140868 -0.38326275 -0.41825 -0.26758566 -0.07594273 0.8176204 -0.23842686 -0.38465244 -0.5781071 0.38251007 0.049903356 -0.02990081 0.3262592 -0.12376215 0.412515 0.25080925 -0.7291635 0.1274299 -0.4482357 -0.4029887 0.17707576
you -0.008867142 -0.07949721 -0.626072 0.7669476 0.4233147 0.44774017 0.30510023 -0.17557444 -0.29742438 0.26404294 0.112445086 0.39718983 -0.30600843 -0.60207397 -0.36799192 0.694749 -0.018497234 0.23485552 -0.023131046 0.30429596 0.6558701 -0.15190578 -0.5048246 -0.67571294 0.56687146 0.35711265 0.06754348 0.046448153 0.37931204 -0.5103049 -0.34340668 0.71443856 -0.22707996 -0.022548152 0.4577758 -0.17597952 -0.31980285 -0.0023922985 -0.17972293 0.54469234 0.387209 -0.53327394 -0.21377872 0.7391319 -0.42361757 -0.29967478 0.41800874 -0.09400909 0.71085674 0.3263144
