word value_1 value_2 value_3 value_4 value_5 value_6 value_7 value_8 value_9 value_10 value_11 value_12 value_13 value_14 value_15 value_16 value_17 value_18 value_19 value_20 value_21 value_22 value_23 value_24 value_25 value_26 value_27 value_28 value_29 value_30 value_31 value_32 value_33 value_34 value_35 value_36 value_37 value_38 value_39 value_40 value_41 value_42 value_43 value_44 value_45 value_46 value_47 value_48 value_49 value_50
the -2.027734 -0.43831304 -1.7255889 0.5680938 -0.03776005 0.9937504 1.5769775 1.4937756 0.8437461 -0.053411674 -1.2788736 0.82183015 0.30372864 0.5770341 -0.32905897 1.1127849 1.0866642 0.70304954 0.7393448 -0.9646556 -0.004605978 -0.073844254 0.43667978 1.4019805 1.9109352 0.9299925 0.22572537 0.0320368 1.2618527 0.8964828 -0.5041454 -1.1077844 -0.72187996 0.99351263 0.4477446 0.79883045 -0.08650913 0.82044464 2.017485 -0.34216273 -0.9762768 -0.8089844 1.9624873 1.4603547 1.7645403 -0.49006033 0.25253013 -1.7746471 1.857385 -2.313402
and 0.1790514 0.9993791 0.28981707 1.6278949 1.2708052 -1.9099964 -1.3737576 -0.15140067 -0.8074152 0.017211279 0.4983274 0.009534371 -1.8384541 0.8014007 -1.7090214 -1.0398874 0.86199594 -1.6834841 0.0944782 0.39487904 -0.2383275 -0.90272135 0.5651155 -0.093708955 0.67241347 2.1321502 -0.078540966 0.58762676 0.13197184 -0.7518011 0.68897 -1.1023353 -1.9193695 -1.3795686 1.0396628 0.716982 -0.0883718 -0.18577051 -1.7015358 -2.019048 1.0485857 -1.510816 -0.73666054 -1.280517 -0.004725938 1.0831406 -0.18182823 -1.57284 0.61963755 -1.3429816
to -0.11599774 -1.5498868 1.1479365 -1.6114691 0.4544186 -1.1794465 0.86457014 1.0706345 -0.78111285 -0.4362908 -2.239932 -0.883803 0.23765567 -0.25716978 0.8220611 -1.6236196 0.48181027 2.1407819 0.77752674 1.3511869 2.2128863 0.0044852295 2.0867794 -1.3782932 -1.3816899 1.2946963 -1.5681493 0.43946573 0.24200441 -0.27617142 -1.3382876 -0.1229958 1.7914028 1.386587 1.7691685 -1.6786337 2.027593 0.83706135 -0.7321567 -0.13966882 1.6220655 -1.2758377 0.7130419 0.036612716 -0.3987446 0.54041237 -1.1744119 1.4775455 -0.11556061 -0.80259466
a -1.3273534 0.8248955 0.796182 -2.3704846 0.091417775 -1.0280329 -0.71087736 -1.0261366 2.086233 0.7536152 0.30937275 1.9154017 0.5748728 1.4000788 2.2889328 0.89287806 0.9269753 2.5462723 -0.98517984 0.15586957 -2.0415688 2.303729 1.068367 -0.31921664 2.4831421 0.73991895 0.31336212 0.19510242 -0.4066347 -0.988181 -0.9952697 -0.9631845 -1.3406556 1.4164203 0.63354754 2.1815324 -0.5176054 -1.1474887 0.5681494 -1.5034924 0.975645 0.16599764 -1.4166597 0.7390455 0.35093087 0.4626378 0.34878474 1.5102307 0.6883508 -0.25980508
it -0.33540457 -0.3131479 -1.112117 0.3536259 -0.7932244 -0.72681785 -0.9795132 1.6173251 -0.63625956 -0.21855128 1.7370063 1.6801672 -1.7237725 0.38295525 -1.388174 -0.77374494 -1.4031856 0.47858822 0.8741157 1.3102738 1.0136642 0.89590466 -0.4024534 -1.7964786 0.4191055 -0.2715357 -0.20775528 -1.6934803 2.4790928 -0.46610412 -0.5716861 0.93672043 0.58590144 1.5754491 -0.13291071 0.35163122 -0.8173546 0.23287676 -0.19135806 0.5257148 -0.6235874 -0.23408885 -0.18310983 -0.6570571 1.1643776 0.35467392 1.3405486 0.9399148 0.068142995 0.87561995
she 0.15231116 -1.5140473 -0.052368164 1.296285 0.0144419195 -0.51141405 0.5375471 -0.13889572 -2.0009685 0.04064576 1.2616241 -0.20510098 -0.08191002 -0.49678013 -1.0346792 1.5992527 1.0848497 2.2332222 1.408167 0.94911075 0.38794842 0.51555026 -1.7030693 -0.28829917 -0.16823496 0.6134255 -0.019686995 -1.329757 0.31744117 -1.5416541 -0.14389376 -1.1423222 -0.8993999 1.4156474 -0.66867435 0.98690677 -0.38989374 2.0264132 -1.2235507 -2.5014791 0.15023836 1.9525868 0.13552961 0.044920683 1.2018801 -1.2555152 -1.6846008 0.46491832 -0.12272183 1.3948677
i -0.5820641 -1.2308023 -2.784764 -0.64868784 -1.2697171 -1.8384957 -0.93212914 -0.50803626 0.26386502 1.3059171 -0.09010218 -1.5118679 1.2437438 -1.6762053 -0.7956488 1.5477238 0.79992276 0.4851356 1.1324519 1.094782 -0.18396686 0.8806785 1.0152026 -0.5509898 0.7928545 0.91410935 -0.15396872 -0.7597176 1.6834621 -0.8762989 1.911598 0.9849272 1.7747558 -0.7666449 -0.9112705 1.9831471 1.8505342 0.9606284 -1.3263716 0.70821106 0.47893757 0.5476583 -1.3081597 -0.9554434 -0.2730259 -1.303454 1.1397829 1.0156745 -0.770532 0.015382518
of -0.18342389 1.0347946 -0.854106 1.050073 -2.1846032 2.188157 -0.61147475 -1.9231377 0.3926728 0.8491405 0.7827573 -0.24915594 -0.19467027 -1.031027 1.4497823 0.36675814 -1.3374188 -1.7554464 -1.016653 1.4906751 1.5983355 0.86342895 -2.5952594 0.023169314 -0.672431 0.015758261 -1.8782713 1.836045 -1.785234 -0.8380327 -1.1062484 -0.11240066 -1.1969855 -0.2454491 1.8219918 -0.62839186 2.690086 -1.3935744 1.3765554 -1.0818943 -0.80121326 0.67714834 2.422028 -0.25548032 -0.2870002 -0.86957705 1.3076061 1.4595333 -1.2908547 -1.7014151
said 0.085831694 -0.2484472 -0.4017633 0.3922327 0.5478586 1.0858098 -0.34103397 -1.4177144 -1.1828204 2.152577 0.6001234 0.6510389 1.9696219 0.6623494 0.49063462 -0.68799514 1.2678777 -0.88535476 0.57733357 -1.7343539 2.1568937 0.69875765 0.90318704 -0.15010789 0.6643113 -2.7135332 0.62127185 1.2115842 0.5468595 0.6364353 -0.045231525 -1.2147182 -0.57082444 2.0747523 -0.5448009 -0.8925706 2.0222056 -1.3886995 -0.56897146 1.6128299 0.38603634 -0.6860494 -0.30250797 0.08966909 0.13356157 1.2868842 -0.3865503 -0.6486465 0.060762994 -0.51683223
you 1.0564423 -1.7385132 -1.9207654 0.11608535 -1.2578653 -1.776154 -0.09139206 -0.016665142 0.3540879 1.3856776 -0.2287507 -1.0884589 0.53287506 -0.92622024 0.18568325 -0.83945364 -0.639601 1.5480548 2.1402078 0.8416999 -0.56266063 0.17419696 1.0113492 -0.63650495 1.3411088 0.13375637 1.0910529 0.26775336 -0.9874725 -0.44037443 2.254393 0.7828095 0.9524292 0.47308317 -0.81045294 -1.5757256 0.1570371 1.2275003 -1.1931155 0.32975414 0.28400892 1.5034612 -0.9652954 0.76920444 2.8969548 1.0536618 -0.99641925 -1.0120968 -1.3052298 -0.94667333
